model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,C(hour_of_week)[T.12],0.4824792217777699,0.0461938248570637,2.5996075209191474e-09,0.3857944351868111,0.5791640083687287
transactions,C(hour_of_week)[T.13],0.508507006482369,0.06367668092439918,1.720861969662478e-07,0.3752301816027188,0.6417838313620192
transactions,C(hour_of_week)[T.14],0.5853775099236451,0.06668683911997755,4.1117692712943396e-08,0.44580035153307507,0.7249546683142152
transactions,C(hour_of_week)[T.15],0.5421283911679757,0.06363125419754231,6.497902674340636e-08,0.40894664552035,0.6753101368156015
transactions,C(hour_of_week)[T.16],0.5160951520161056,0.06609074310394202,2.39557607534812e-07,0.37776563692583487,0.6544246671063763
transactions,C(hour_of_week)[T.17],0.4375546575728184,0.05459808676311219,1.632664637707403e-07,0.3232795486529527,0.5518297664926841
transactions,C(hour_of_week)[T.18],0.42923044312466213,0.06784668491986857,4.520743884979136e-06,0.28722569957551575,0.5712351866738086
transactions,C(hour_of_week)[T.19],0.34162425350314424,0.050892098661089166,2.0437995856242564e-06,0.23510586682616375,0.44814264018012473
transactions,C(hour_of_week)[T.20],0.3232100255538124,0.0626365897056217,5.5672045688245266e-05,0.19211013661384232,0.45430991449378244
transactions,C(hour_of_week)[T.21],0.24205555329711997,0.04986134791770773,0.00011010009162735286,0.13769455272013606,0.34641655387410386
transactions,C(hour_of_week)[T.22],0.19099638735833008,0.05129101875842383,0.0014395470806939459,0.08364305132184122,0.2983497233948189
transactions,C(hour_of_week)[T.23],0.1788375078134068,0.0509600792360976,0.002344971796909826,0.07217683615770112,0.2854981794691125
transactions,C(hour_of_week)[T.24],0.12982180773973717,0.041976464846202925,0.005991423357954561,0.04196405709760968,0.21767955838186465
transactions,C(hour_of_week)[T.25],0.10058130735517301,0.040383569802067205,0.022172946821426415,0.01605752435656936,0.18510509035377665
transactions,C(hour_of_week)[T.26],0.09920372857320876,0.03278225938926463,0.00694736062869506,0.03058967111362526,0.16781778603279227
transactions,C(hour_of_week)[T.27],0.08909057779480456,0.04574073307218723,0.06637755933631795,-0.006645876791552971,0.1848270323811621
transactions,C(hour_of_week)[T.28],0.12037800400292795,0.04568608727506511,0.01632101024104523,0.02475592438441933,0.21600008362143658
transactions,C(hour_of_week)[T.29],0.16411298829878163,0.028799814960647412,1.7128217993989528e-05,0.10383428282363831,0.22439169377392493
transactions,C(hour_of_week)[T.30],0.21161350951911165,0.03486520888804438,7.750372789405092e-06,0.13863978865446439,0.2845872303837589
transactions,C(hour_of_week)[T.31],0.2585707170826013,0.0431096234459485,9.017797242625907e-06,0.1683412382337467,0.34880019593145595
transactions,C(hour_of_week)[T.32],0.336516994527735,0.04477663951533407,4.185391176077867e-07,0.24279841094657117,0.4302355781088988
transactions,C(hour_of_week)[T.33],0.4337984188745881,0.06318831072695509,1.5022306213053492e-06,0.3015437645656445,0.5660530731835316
