event_id,destination_group,period,hours,mean_transactions,mean_volume,mean_active_senders,total_transactions,total_volume
E010,non_cex,anticipatory,24,5097.583333333333,640501070.337284,2698.5,122342,15372025688.094814
E010,non_cex,baseline,144,4805.576388888889,567138977.1243808,2696.9305555555557,692003,81668012705.91084
E010,non_cex,post,143,5340.888111888112,743802081.0616311,3166.090909090909,763747,106363697591.81325
E010,non_cex,recovery,18,3646.3333333333335,272387939.53382266,2380.1666666666665,65634,4902982911.608808
E010,non_cex,shock,7,5495.857142857143,418594668.5359567,2818.714285714286,38471,2930162679.7516966
E013,cex_bound,anticipatory,24,2826.5833333333335,254072255.60588467,2803.0833333333335,67838,6097734134.541232
E013,cex_bound,baseline,144,1435.9930555555557,180197795.01302418,1392.1597222222222,206783,25948482481.87548
E013,cex_bound,post,143,1404.3356643356644,79600995.99111085,1376.4335664335665,200820,11382942426.728851
E013,cex_bound,recovery,18,1630.111111111111,167938760.60355136,1600.111111111111,29342,3022897690.8639245
E013,cex_bound,shock,7,1754.142857142857,536931077.165796,1725.857142857143,12279,3758517540.160572
E013,non_cex,anticipatory,24,6663.75,771239449.6376705,3873.7083333333335,159930,18509746791.304092
E013,non_cex,baseline,144,5953.486111111111,632054316.4810205,3471.9791666666665,857302,91015821573.26694
E013,non_cex,post,143,5656.839160839161,450631359.43176377,3603.895104895105,808928,64440284398.74222
E013,non_cex,recovery,18,6556.111111111111,642738726.5213404,3795.5,118010,11569297077.384127
E013,non_cex,shock,7,5507.857142857143,1255983758.832266,2847.4285714285716,38555,8791886311.825863
E018,cex_bound,anticipatory,24,1165.875,95328242.72006129,1132.625,27981,2287877825.281471
E018,cex_bound,baseline,144,1235.826388888889,81827746.38333791,1197.3958333333333,177959,11783195479.200659
E018,cex_bound,post,143,1075.4895104895104,80409292.15314046,1046.7412587412587,153795,11498528777.899086
E018,cex_bound,recovery,18,1974.1666666666667,183215289.63484323,1939.388888888889,35535,3297875213.4271784
E018,cex_bound,shock,7,1002.1428571428571,114873076.73667696,968.1428571428571,7015,804111537.1567388
E018,non_cex,anticipatory,24,4957.0,295348943.6400753,2576.75,118968,7088374647.361808
E018,non_cex,baseline,144,4835.826388888889,322317686.0880416,2476.4236111111113,696359,46413746796.67799
E018,non_cex,post,143,4261.223776223776,273249729.1976812,2252.027972027972,609355,39074711275.26841
E018,non_cex,recovery,18,4572.5,337319450.70881695,2444.1666666666665,82305,6071750112.758705
E018,non_cex,shock,7,5768.571428571428,494811413.3942353,2771.1428571428573,40380,3463679893.7596474
