model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,C(hour_of_week)[T.31],0.8228938974471861,0.30502543326049825,0.006980191584875025,0.22505503388788362,1.4207327610064886
transactions,C(hour_of_week)[T.32],0.7823022779088553,0.2801160725739295,0.005225738499387175,0.23328486417314553,1.331319691644565
transactions,C(hour_of_week)[T.33],1.0105459042110732,0.2671441894528711,0.00015509066338735938,0.48695291420430087,1.5341388942178456
transactions,C(hour_of_week)[T.34],0.8410161035769396,0.2371776333040726,0.0003912249949544394,0.3761564843625096,1.3058757227913695
transactions,C(hour_of_week)[T.35],0.7986090830291421,0.3277088891899896,0.014811864048689467,0.15631146280313513,1.4409067032551492
transactions,C(hour_of_week)[T.36],0.8364858480737386,0.3098278237655975,0.006937263081224197,0.22923447208474457,1.4437372240627326
transactions,C(hour_of_week)[T.37],1.0256720412248914,0.2791392405135106,0.00023839957476863916,0.47856918314654673,1.5727748993032362
transactions,C(hour_of_week)[T.38],1.3146971334571533,0.2801936914516353,2.704134045568437e-06,0.7655275895166197,1.863866677397687
transactions,C(hour_of_week)[T.39],1.171751408174504,0.3268268822280297,0.00033677390385962593,0.5311824898280519,1.812320326520956
transactions,C(hour_of_week)[T.40],1.212000327944644,0.3630870490066202,0.0008437056980992691,0.5003627886387388,1.9236378672505494
transactions,C(hour_of_week)[T.41],1.1072780246799838,0.3985394152341348,0.005463740329003812,0.3261551244014259,1.8884009249585416
transactions,C(hour_of_week)[T.42],1.124986848322078,0.3601982672957398,0.0017886977999012998,0.4190112171286964,1.8309624795154595
transactions,C(hour_of_week)[T.43],0.8753241403454932,0.37303747849685703,0.01895179810242748,0.14418411760801852,1.606464163082968
transactions,C(hour_of_week)[T.44],1.0343820916556503,0.362547717722857,0.004329604797953501,0.32380162224165676,1.7449625610696438
transactions,C(hour_of_week)[T.45],0.7160280394177299,0.3918294654788078,0.0676400810345171,-0.05194360100231388,1.4839996798377735
transactions,C(hour_of_week)[T.46],0.7510597798961284,0.4601922926579528,0.10266760386425566,-0.1509005396763755,1.6530200994686322
transactions,C(hour_of_week)[T.47],0.521351616465757,0.4379964477468455,0.23392451372890855,-0.3371056464745399,1.379808879406054
transactions,C(hour_of_week)[T.48],0.556152599790942,0.40013833155356604,0.1645589930586867,-0.22810411888799453,1.3404093184698787
transactions,C(hour_of_week)[T.49],0.4451059279707127,0.3560176927918465,0.21121356323974816,-0.25267592776035164,1.142887783701777
transactions,C(hour_of_week)[T.50],0.3466322348684259,0.45678363067228883,0.44793970274245676,-0.5486472299767058,1.2419116997135575
transactions,C(hour_of_week)[T.51],0.5315541492788857,0.3921189458612856,0.17522833405043747,-0.23698486226504534,1.3000931608228168
transactions,C(hour_of_week)[T.52],0.50097394165714,0.2531083092769743,0.04778372219309041,0.004890771286445161,0.9970571120278349
transactions,C(hour_of_week)[T.53],0.6260015138670134,0.2865087431657142,0.028893988264527222,0.06445469600637732,1.1875483317276494
transactions,C(hour_of_week)[T.54],0.5559252425474913,0.343475330223906,0.10554835402508041,-0.11727403426936633,1.229124519364349
transactions,C(hour_of_week)[T.55],0.37571608331512,0.30631637235256354,0.21998718408879436,-0.22465297437086523,0.9760851410011053
transactions,C(hour_of_week)[T.56],0.5578759030304352,0.3270391218523426,0.08803816531232342,-0.08310899733576238,1.1988608033966328
transactions,C(hour_of_week)[T.57],0.6270235813882602,0.30688761832617445,0.04103561037846441,0.02553490216768406,1.2285122606088363
transactions,C(hour_of_week)[T.58],0.7334077582839433,0.2614170781863708,0.005023730203509909,0.2210397000949652,1.2457758164729213
transactions,C(hour_of_week)[T.59],0.602603306112193,0.2900907379009964,0.03777457343641863,0.03403590757759167,1.1711707046467943
transactions,C(hour_of_week)[T.60],0.6632610476716766,0.2768111599142715,0.016571576946627725,0.12072114372094689,1.2058009516224062
transactions,C(hour_of_week)[T.61],0.9791079573526638,0.27717782189020446,0.00041177773983880225,0.43584940913460524,1.5223665055707223
transactions,C(hour_of_week)[T.62],1.1029947211664242,0.291276818284993,0.00015262582584614132,0.5321026477964199,1.6738867945364284
transactions,C(hour_of_week)[T.63],1.0512622923325268,0.32479968249198893,0.0012094242886511008,0.4146666124581837,1.6878579722068698
transactions,C(hour_of_week)[T.64],1.056247561594219,0.35872480246632593,0.003235282933310155,0.35315986839897506,1.759335254789463
transactions,C(hour_of_week)[T.65],1.1306174305430454,0.35581854817110176,0.0014854494012471304,0.4332258910963557,1.8280089699897353
transactions,C(hour_of_week)[T.66],1.10989621243186,0.30035862306311395,0.00021968201830548337,0.5212041287821151,1.698588296081605
transactions,C(hour_of_week)[T.67],0.9841007035246196,0.34683663117128904,0.0045488159528543435,0.3043133979096908,1.6638880091395485
transactions,C(hour_of_week)[T.68],1.1067378878004233,0.2727101809585184,4.943266904910038e-05,0.5722357549043263,1.6412400206965203
transactions,C(hour_of_week)[T.69],0.5992197991983603,0.2818706415777184,0.03351424549220302,0.046763493406833945,1.1516761049898867
transactions,C(hour_of_week)[T.70],0.5035965937753413,0.29803962948536433,0.09108598506079303,-0.0805503459816348,1.0877435335323173
transactions,C(hour_of_week)[T.71],0.6047551286985565,0.2903096890897423,0.03723865165637893,0.03575859371964096,1.173751663677472
transactions,C(hour_of_week)[T.72],0.4229386794620709,0.34274151169260003,0.21720762923280523,-0.24882233946223892,1.0946996983863808
transactions,C(hour_of_week)[T.73],0.2775576391404266,0.3072476228657159,0.36633067185229606,-0.3246366360119218,0.879751914292775
transactions,C(hour_of_week)[T.74],0.3677514120916048,0.3393095359297613,0.27844337297137023,-0.2972830579417268,1.0327858821249363
transactions,C(hour_of_week)[T.75],0.8043321025898325,0.41285514570699,0.05138880386445392,-0.004849113827904206,1.613513319007569
transactions,C(hour_of_week)[T.76],0.5629951797676397,0.39308167669808325,0.15206941332952986,-0.20743074954322083,1.3334211090785002
transactions,C(hour_of_week)[T.77],0.7187595624998875,0.2557352862585594,0.004945524887436594,0.21752761185707004,1.219991513142705
transactions,C(hour_of_week)[T.78],0.6550719311431059,0.3202288743615497,0.040792129904672035,0.02743487058466665,1.2827089917015453
transactions,C(hour_of_week)[T.79],0.42433842807790073,0.2621457020574411,0.10550921547993279,-0.08945770665665137,0.9381345628124529
transactions,C(hour_of_week)[T.80],0.5589935458780732,0.28583759539268716,0.050508356492757596,-0.0012378465191257293,1.1192249382752721
transactions,C(hour_of_week)[T.81],0.7698873581929325,0.30939235249885866,0.012832465071737279,0.1634894902030486,1.3762852261828165
transactions,C(hour_of_week)[T.82],0.9953935252057501,0.3793042733171932,0.00868371368060676,0.2519708103219144,1.738816240089586
transactions,C(hour_of_week)[T.83],0.6365903787909347,0.3172721868957195,0.04480839286858682,0.014748319179063607,1.2584324384028058
transactions,C(hour_of_week)[T.84],0.9789159820777497,0.27425040510374504,0.00035776696623522164,0.4413950653288895,1.5164368988266097
transactions,C(hour_of_week)[T.85],1.0419668309663348,0.2714001260693465,0.00012342202240168417,0.5100323584707854,1.5739013034618843
transactions,C(hour_of_week)[T.86],1.0674959635359633,0.25901812951964,3.767117439449115e-05,0.559829758334538,1.5751621687373887
transactions,C(hour_of_week)[T.87],1.1487190187544138,0.2651137442511785,1.4713860260890041e-05,0.6291056282155412,1.6683324092932865
transactions,C(hour_of_week)[T.88],1.378596122858097,0.31585527643813205,1.2732942341467219e-05,0.7595311567124154,1.9976610890037785
