event_id,event_start,event_end,peak_time,peak_avg_gas_gwei,peak_median_gas_gwei,peak_max_gas_gwei,lagged_threshold_gwei,lagged_median_gwei,shock_ratio,shock_increase_gwei,event_interval_count,selected_non_overlapping,overlap_with_peak_time,window_start,window_end,market_stable,analysis_eligible,exclusion_reason,screen_max_eth_abs_return_1h,screen_max_stablecoin_depeg_abs,screen_volatility_breach,screen_observation_count
E023,2023-11-09 12:00:00,2023-11-09 18:00:00,2023-11-09 12:00:00,86.82789519611006,63.93774499231375,323.556840279,44.63202367776909,13.653990348216269,6.3591589697771465,73.1739048478938,2,True,,2023-11-02 12:00:00,2023-11-16 18:00:00,False,False,elevated_eth_volatility,0.0408828681309572,0.0009201666666664,True,19
E027,2023-11-30 18:00:00,2023-11-30 18:00:00,2023-11-30 18:00:00,65.3452780247991,64.2946054479864,184.984282935,53.4656339758394,15.393108658344143,4.245099510122498,49.95216936645495,1,True,,2023-11-23 18:00:00,2023-12-07 18:00:00,True,True,,0.0064361967524826,0.0009772500000002,False,13
E030,2023-12-15 12:00:00,2023-12-15 12:00:00,2023-12-15 12:00:00,90.69655567853115,74.6355514379807,180.910697548,64.39555551102777,20.908548654929685,4.337773853908664,69.78800702360147,1,True,,2023-12-08 12:00:00,2023-12-22 12:00:00,True,True,,0.0051925991262704,0.001190833333333,False,13
E034,2024-02-09 12:00:00,2024-02-09 12:00:00,2024-02-09 12:00:00,82.32393807448625,80.5316565725424,126.508182359,72.92124022026071,28.36252036981762,2.9025607386462187,53.96141770466864,1,True,,2024-02-02 12:00:00,2024-02-16 12:00:00,True,True,,0.0132128685355974,0.0005352499999995,False,13
E039,2024-03-05 12:00:00,2024-03-05 18:00:00,2024-03-05 18:00:00,113.2812328372475,96.81563089364587,394.06284966,88.56501226504446,28.396496304801637,3.9892679583182415,84.88473653244587,2,True,,2024-02-27 12:00:00,2024-03-12 18:00:00,False,False,elevated_eth_volatility,0.0434809997563707,0.0021474999999997,True,19
E040,2024-04-13 18:00:00,2024-04-13 18:00:00,2024-04-13 18:00:00,130.60705693072728,99.91387375072082,586.338250584,94.59119900465882,29.917905972771024,4.365514653652424,100.68915095795626,1,True,,2024-04-06 18:00:00,2024-04-20 18:00:00,False,False,eth_return_spike;elevated_eth_volatility,0.080140081273007,0.0050734166666672,True,13
E041,2024-08-05 00:00:00,2024-08-05 12:00:00,2024-08-05 00:00:00,104.40611216191036,38.00654883640647,701.717784035,24.200203034923867,5.310285163960598,19.66111215090389,99.09582699794976,3,True,,2024-07-29 00:00:00,2024-08-12 12:00:00,False,False,eth_return_spike;elevated_eth_volatility,0.1079691650835972,0.0022631666666668,True,25
E044,2024-09-23 12:00:00,2024-09-23 12:00:00,2024-09-23 12:00:00,28.559389765259898,26.48890887522351,77.820981525,22.649993650036095,2.8993714731235327,9.850200303754963,25.660018292136364,1,True,,2024-09-16 12:00:00,2024-09-30 12:00:00,True,True,,0.0056784064968828,0.000307,False,13
E047,2024-10-07 12:00:00,2024-10-07 12:00:00,2024-10-07 12:00:00,46.07069272726953,41.081094219893686,129.855328263,29.8428510105851,3.630109804752285,12.691266987835194,42.44058292251725,1,True,,2024-09-30 12:00:00,2024-10-14 12:00:00,True,True,,0.0103659573192436,0.0005325833333332,False,13
E051,2024-11-13 12:00:00,2024-11-13 18:00:00,2024-11-13 12:00:00,68.72484075434804,78.42200379316138,105.18577294,32.55963331276347,7.303028261882771,9.410458003161322,61.421812492465264,2,True,,2024-11-06 12:00:00,2024-11-20 18:00:00,False,False,elevated_eth_volatility,0.0210851262215658,0.0019956666666665,True,19
E052,2024-12-02 18:00:00,2024-12-02 18:00:00,2024-12-02 18:00:00,50.53667264580302,31.791932704657007,202.434748979,38.39864088131928,10.102959701940724,5.002165121582659,40.433712943862304,1,True,,2024-11-25 18:00:00,2024-12-09 18:00:00,True,True,,0.0103106702372297,0.0007070833333332,False,13
E054,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,50.65140213049024,50.21915863584777,91.608521077,46.44567749684051,10.835894411962167,4.674408978604864,39.81550771852807,1,True,,2024-12-26 00:00:00,2025-01-09 00:00:00,True,True,,0.0050663260803673,0.0015302500000001,False,13
E055,2025-01-19 18:00:00,2025-01-19 18:00:00,2025-01-19 18:00:00,78.3996577646622,46.2623560391323,243.615363907,48.44135672325095,10.141456653610994,7.730611138267499,68.25820111105119,1,True,,2025-01-12 18:00:00,2025-01-26 18:00:00,False,False,elevated_eth_volatility,0.03850316126079,0.0016195000000001,True,13
E056,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,83.52339965113039,36.54759833356815,825.516734806,50.58371173452478,10.122085397250174,8.251599978974772,73.40131425388022,1,True,,2025-01-27 00:00:00,2025-02-10 00:00:00,False,False,eth_return_spike;elevated_eth_volatility,0.1196187033228683,0.002412,True,13
E057,2025-05-08 12:00:00,2025-05-08 12:00:00,2025-05-08 12:00:00,18.51955319314739,17.855523568480447,39.617984594,9.16851947750962,0.6966990972256688,26.581853294907734,17.822854095921723,1,True,,2025-05-01 12:00:00,2025-05-15 12:00:00,True,True,,0.0190858041961741,0.0005390833333331,False,13
E059,2025-06-05 18:00:00,2025-06-05 18:00:00,2025-06-05 18:00:00,9.324120333804032,8.637437490980847,24.515631141,9.178512563716966,0.6908035270028106,13.497499606376644,8.633316806801222,1,True,,2025-05-29 18:00:00,2025-06-12 18:00:00,True,True,,0.0283131685844937,0.0013900833333333,False,13
E060,2025-07-17 12:00:00,2025-07-17 12:00:00,2025-07-17 12:00:00,16.478608453991647,11.753978690027845,41.968109765,9.150041859501918,1.0504903494128417,15.686587185881486,15.428118104578806,1,True,,2025-07-10 12:00:00,2025-07-24 12:00:00,True,True,,0.0153289685859547,0.0008656666666664,False,13
E061,2025-09-01 12:00:00,2025-09-01 12:00:00,2025-09-01 12:00:00,24.998627023101232,9.348289632453092,138.636109015,7.673860296905481,0.7517712219275632,33.25297150774677,24.24685580117367,1,True,,2025-08-25 12:00:00,2025-09-08 12:00:00,True,True,,0.0140859989954478,0.0004931666666665,False,13
E063,2025-10-10 18:00:00,2025-10-10 18:00:00,2025-10-10 18:00:00,60.188847852600894,9.928929094424785,547.228205708,7.673860296905481,0.3867938887403545,155.60961433132732,59.80205396386054,1,True,,2025-10-03 18:00:00,2025-10-17 18:00:00,False,False,eth_return_spike;elevated_eth_volatility,0.0679382719400152,0.0101553333333332,True,13
E065,2025-11-06 12:00:00,2025-11-06 12:00:00,2025-11-06 12:00:00,7.226933604776161,3.5968369645102185,97.678961602,6.493428228029484,0.295677111288313,24.44197852612684,6.931256493487848,1,True,,2025-10-30 12:00:00,2025-11-13 12:00:00,True,True,,0.0120367535286973,0.0006942500000002,False,13
E066,2026-02-05 12:00:00,2026-02-05 18:00:00,2026-02-05 18:00:00,5.392428701641858,2.5798707578052644,32.578181327,2.0602801619012268,0.0729664169151386,73.90288477387284,5.319462284726719,2,True,,2026-01-29 12:00:00,2026-02-12 18:00:00,False,False,elevated_eth_volatility,0.0439973779433202,0.0015825833333331,True,19
E067,2026-04-22 12:00:00,2026-04-22 12:00:00,2026-04-22 12:00:00,5.965087674166574,5.869393013884375,12.602520691,3.352120625012561,0.0990787879145189,60.2054970566758,5.866008886252055,1,True,,2026-04-15 12:00:00,2026-04-29 12:00:00,True,True,,0.0036597668596769,0.0003168333333332,False,13
